 RT  @_pastafari_:  @iowademocrats  "No  time  frame  for  release."

@iowademocrats:  *Finds  out
@BernieSanders  kept  score  the  entire  time.

@iowad… 
 Bernie  is  going  to  win  popular  vote  in  #IACaucus,  but  Buttigieg  will  win  the  most  delegates.  All  of  a  sudden  the  Cl…  https://t.co/P60rjuoxwy 
 RT  @GOPChairwoman:  Congratulations  to  the  winner  of  the  #IACaucus:  @realDonaldTrump.  

He  won  Iowa  big  in  2016,  and  he's  going  to  carry  it… 
 Update:  Now  being  told  this  is  the  man  running  your  Shadow  app.  You  fuckin  idiots.  #IACaucus 
 RT  @mmpadellan:  The  SNAFU  with  the  #IACaucus  results  highlights  the  need  for  paper  ballots,  especially  in  the  2020  election.

Can  you  imagi… 
 RT  @jaylencavil:  Des  Moines  Precinct  80:

Bernie’s  group  had  101  people  
Pete’s  group  had  66  people

Bernie  &amp;  Pete  end  up  tied  at  4  delegat… 
 RT  @j_gelling:  Democrats  pay  a  developer  with  ties  to  Hillary,  Buttigieg  and  others  to  develop  an  app  called  "Shadow"  to  total  the  vote  tal… 
 RT  @zachhammer:  This  is  the  data  Bernie's  precinct  captains  have  been  collecting  through  their  own  app.  They  should  be  able  to  use  this  dat… 
 RT  @rmiskimens:  @DNC  @TomPerez  You  know  what  really  upsets  me  Tom?  You  allowed  Bernie  to  make  a  laughingstock  out  of  the  Party  I  love.  That… 
 RT  @TeamTrump:  Meanwhile...

President  @realDonaldTrump  CRUSHED  all  incumbent  turnout  records  in  Iowa!  

#IACaucus 
 RT  @jaylencavil:  Des  Moines  Precinct  80:

Bernie’s  group  had  101  people  
Pete’s  group  had  66  people

Bernie  &amp;  Pete  end  up  tied  at  4  delegat… 
 RT  @FL4Bernie2020:  No  one:

Twitter:  I’m  a  bona  fide  expert  on  polling,  caucus  alignments,  and  app  development.

#IowaCaucuses  #Shadow  #IAC… 
 RT  @JulianCastro:  This  is  a  total  mess.  I  respect  the  people  of  Iowa,  they’ve  been  great—but  it’s  become  very  clear  that  our  democracy  has… 
 RT  @AndrewGillum:  If  you  think  the  #IACaucus  delays  are  bad,  wait  until  you  hear  about  what  happens  in  black  or  brown  precincts  across  the… 
 RT  @ProfessorAMuse:  An  app  glitch?  

We  must  demand  #PaperBallots  💯  in  #IACaucus  and  from  sea  to  shining  sea.  What  confidence  is  there  in  o… 
 RT  @jaylencavil:  Des  Moines  Precinct  80:

Bernie’s  group  had  101  people  
Pete’s  group  had  66  people

Bernie  &amp;  Pete  end  up  tied  at  4  delegat… 
 RT  @jaylencavil:  Des  Moines  Precinct  80:

Bernie’s  group  had  101  people  
Pete’s  group  had  66  people

Bernie  &amp;  Pete  end  up  tied  at  4  delegat… 
 RT  @jaylencavil:  Des  Moines  Precinct  80:

Bernie’s  group  had  101  people  
Pete’s  group  had  66  people

Bernie  &amp;  Pete  end  up  tied  at  4  delegat… 
 What  is  happening  in  Iowa  is  a  lot  of  things.  It's  technical  failure,  it's  a  logistic  mess-up,  it's  just  really  rea…  https://t.co/d0fQFIpRa3 
 RT  @MichaelSatoshi:  If  I  were  the  attorney  for  any  of  the  campaigns  I  would  advise  the  same.  No  results  should  be  released  until  a  proper  i… 
 I  am  not  getting  into  that  #IACaucus  fight,  It's  stupid...But  meanwhile...  https://t.co/8jYDcVF3TO 
 RT  @apeterbruce:  #Ambazonians  forced  2register  4  the  upcoming  #sham  elections  despite  ongoing  #Genocide&gt;40  extra  judicial  killings  &amp;  assass… 
 RT  @GOPChairwoman:  While  the  #IACaucus  outcome  is  still  uncertain  for  Democrats,  the  Republican  Party  is  more  unified  than  ever  behind  @rea… 
 RT  @DMRegister:  The  smartphone  application  blamed  in  part  for  the  ongoing  delay  in  reporting  results  of  the  Iowa  caucuses  is  linked  with  ke… 
 RT  @GOPChairwoman:  Congratulations  to  the  winner  of  the  #IACaucus:  @realDonaldTrump.  

He  won  Iowa  big  in  2016,  and  he's  going  to  carry  it… 
 RT  @GOPChairwoman:  Congratulations  to  the  winner  of  the  #IACaucus:  @realDonaldTrump.  

He  won  Iowa  big  in  2016,  and  he's  going  to  carry  it… 
 RT  @AndrewGillum:  If  you  think  the  #IACaucus  delays  are  bad,  wait  until  you  hear  about  what  happens  in  black  or  brown  precincts  across  the… 
 RT  @jennifer_fiore:  Julián  Castro  was  right,  y’all:  

Iowa  shouldn’t  be  first,  its  caucus  is  a  mess  that  disenfranchises  people.  #IACaucus… 
 @Jayekanan  @egeogh  #IACaucus  needs  to  find  out  what  precinct  this  is  and  fix  this.  The  win  needs  to  be  fair  and  squ…  https://t.co/ufPtSL7ABQ 
 RT  @GOPChairwoman:  Congratulations  to  the  winner  of  the  #IACaucus:  @realDonaldTrump.  

He  won  Iowa  big  in  2016,  and  he's  going  to  carry  it… 
 RT  @GOPChairwoman:  Congratulations  to  the  winner  of  the  #IACaucus:  @realDonaldTrump.  

He  won  Iowa  big  in  2016,  and  he's  going  to  carry  it… 
 RT  @GOPChairwoman:  Congratulations  to  the  winner  of  the  #IACaucus:  @realDonaldTrump.  

He  won  Iowa  big  in  2016,  and  he's  going  to  carry  it… 
 RT  @jaylencavil:  Des  Moines  Precinct  80:

Bernie’s  group  had  101  people  
Pete’s  group  had  66  people

Bernie  &amp;  Pete  end  up  tied  at  4  delegat… 
 RT  @AbbyMartin:  The  insanity  of  the  #IACaucus  has  resulted  in  every  candidate  giving  a  victory  speech,  taking  the  wind  out  of  Bernie’s  like… 
 RT  @GOPChairwoman:  Congratulations  to  @realDonaldTrump  for  officially  breaking  the  turnout  record  for  an  incumbent  president  in  the  #IACauc… 
 RT  @NHJennifer:  Hard  2  take  @GOP  criticism  of  #IACaucus  seriously.They  have  actually  CANCELED  primaries  2  protect  @realDonaldTrump  fragile… 
 RT  @TeamTrump:  Meanwhile...

President  @realDonaldTrump  CRUSHED  all  incumbent  turnout  records  in  Iowa!  

#IACaucus 
 RT  @GOPChairwoman:  While  the  #IACaucus  outcome  is  still  uncertain  for  Democrats,  the  Republican  Party  is  more  unified  than  ever  behind  @rea… 
 RT  @TeamTrump:  Meanwhile...

President  @realDonaldTrump  CRUSHED  all  incumbent  turnout  records  in  Iowa!  

#IACaucus 
 RT  @swalker06:  Sanders  did  very  well  w/  first  time  and  nonwhite  voters;  the  labor  crowd  and  young  voters.  His  supporters  came  out  in  droves… 
